INSERTION,DELETION,SUM,SUBTRACT
6,0,6,6
0,0,0,0
0,0,0,0
1,1,2,0
1,4,5,-3
2,0,2,2
1,1,2,0
1,1,2,0
2,2,4,0
3,1,4,2
1,1,2,0
1,0,1,1
26,22,48,4
12,8,20,4
131,44,175,87
11,9,20,2
3,3,6,0
1,1,2,0
87,66,153,21
70,52,122,18
4,0,4,4
2,0,2,2
1,1,2,0
1,1,2,0
2,2,4,0
48,74,122,-26
2,2,4,0
2,2,4,0
2,2,4,0
2,2,4,0
107,2,109,105
25,21,46,4
3,0,3,3
1,1,2,0
1,1,2,0
4,1,5,3
7,6,13,1
0,1,1,-1
1,0,1,1
2,0,2,2
2,2,4,0
2,2,4,0
172,0,172,172
3,1,4,2
28,20,48,8
3,3,6,0
1,22,23,-21
4,5,9,-1
1,0,1,1
15,0,15,15
21,0,21,21
2,0,2,2
3,0,3,3
17,0,17,17
1,1,2,0
2,1,3,1
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
2,2,4,0
7,7,14,0
22,1,23,21
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,2,3,-1
4,4,8,0
1,1,2,0
1,1,2,0
1,2,3,-1
4,4,8,0
5,1,6,4
5,1,6,4
0,0,0,0
1,1,2,0
1,1,2,0
3,6,9,-3
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
2,2,4,0
7,2,9,5
8,2,10,6
3,1,4,2
0,2,2,-2
1,1,2,0
10,0,10,10
0,0,0,0
48,8,56,40
68,9,77,59
48,51,99,-3
1,1,2,0
1,0,1,1
0,0,0,0
2,2,4,0
30,27,57,3
1,1,2,0
1,1,2,0
2,2,4,0
0,76,76,-76
0,94,94,-94
9,1,10,8
9,1,10,8
1,4,5,-3
310,0,310,310
7,0,7,7
1,4,5,-3
686,0,686,686
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,2,3,-1
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
4,4,8,0
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
